index	original_label	name
1	8	Left-Cerebellum-Cortex
2	10	Left-Thalamus
3	11	Left-Caudate
4	12	Left-Putamen
5	13	Left-Pallidum
6	17	Left-Hippocampus
7	18	Left-Amygdala
8	26	Left-Accumbens
9	28	Left-VentralDC
10	47	Right-Cerebellum-Cortex
11	49	Right-Thalamus
12	50	Right-Caudate
13	51	Right-Putamen
14	52	Right-Pallidum
15	53	Right-Hippocampus
16	54	Right-Amygdala
17	58	Right-Accumbens
18	60	Right-VentralDC
19	1001	ctx-lh-bankssts
20	1002	ctx-lh-caudalanteriorcingulate
21	1003	ctx-lh-caudalmiddlefrontal
22	1005	ctx-lh-cuneus
23	1006	ctx-lh-entorhinal
24	1007	ctx-lh-fusiform
25	1008	ctx-lh-inferiorparietal
26	1009	ctx-lh-inferiortemporal
27	1010	ctx-lh-isthmuscingulate
28	1011	ctx-lh-lateraloccipital
29	1012	ctx-lh-lateralorbitofrontal
30	1013	ctx-lh-lingual
31	1014	ctx-lh-medialorbitofrontal
32	1015	ctx-lh-middletemporal
33	1016	ctx-lh-parahippocampal
34	1017	ctx-lh-paracentral
35	1018	ctx-lh-parsopercularis
36	1019	ctx-lh-parsorbitalis
37	1020	ctx-lh-parstriangularis
38	1021	ctx-lh-pericalcarine
39	1022	ctx-lh-postcentral
40	1023	ctx-lh-posteriorcingulate
41	1024	ctx-lh-precentral
42	1025	ctx-lh-precuneus
43	1026	ctx-lh-rostralanteriorcingulate
44	1027	ctx-lh-rostralmiddlefrontal
45	1028	ctx-lh-superiorfrontal
46	1029	ctx-lh-superiorparietal
47	1030	ctx-lh-superiortemporal
48	1031	ctx-lh-supramarginal
49	1032	ctx-lh-frontalpole
50	1033	ctx-lh-temporalpole
51	1034	ctx-lh-transversetemporal
52	1035	ctx-lh-insula
53	2001	ctx-rh-bankssts
54	2002	ctx-rh-caudalanteriorcingulate
55	2003	ctx-rh-caudalmiddlefrontal
56	2005	ctx-rh-cuneus
57	2006	ctx-rh-entorhinal
58	2007	ctx-rh-fusiform
59	2008	ctx-rh-inferiorparietal
60	2009	ctx-rh-inferiortemporal
61	2010	ctx-rh-isthmuscingulate
62	2011	ctx-rh-lateraloccipital
63	2012	ctx-rh-lateralorbitofrontal
64	2013	ctx-rh-lingual
65	2014	ctx-rh-medialorbitofrontal
66	2015	ctx-rh-middletemporal
67	2016	ctx-rh-parahippocampal
68	2017	ctx-rh-paracentral
69	2018	ctx-rh-parsopercularis
70	2019	ctx-rh-parsorbitalis
71	2020	ctx-rh-parstriangularis
72	2021	ctx-rh-pericalcarine
73	2022	ctx-rh-postcentral
74	2023	ctx-rh-posteriorcingulate
75	2024	ctx-rh-precentral
76	2025	ctx-rh-precuneus
77	2026	ctx-rh-rostralanteriorcingulate
78	2027	ctx-rh-rostralmiddlefrontal
79	2028	ctx-rh-superiorfrontal
80	2029	ctx-rh-superiorparietal
81	2030	ctx-rh-superiortemporal
82	2031	ctx-rh-supramarginal
83	2032	ctx-rh-frontalpole
84	2033	ctx-rh-temporalpole
85	2034	ctx-rh-transversetemporal
86	2035	ctx-rh-insula
